review_text,rating
This phone is excellent and battery life is amazing,5
Good product overall very satisfied with the quality,4
Terrible product broken after one day complete waste of money,1
ok,5
best ever must buy changed my life absolutely perfect,5
Camera is poor and slow but battery is good,3
Outstanding performance very reliable and durable,5
Worst purchase ever totally useless and fragile,1
Nice design and smooth performance highly recommend,4
Disappointed with the quality overpriced for what it offers,2
